opis,cena,id,vrednost_kupona,ocena,stevilo_ocen,cas_dostave,amazons_choice,produkt_sponzoriran,proizvajalec,OS,ssd,ram
"Intel NUC, NUC11 Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4 GHz - 4.2 GHz Turbo, 8 MB Cache, 16 GB RAM, 512 GB PCIe SSD 28 W Intel® W ris™ Xe Graphics NUC11PAHi5",799.99,B0B1LTRJ7Q,90.00,4.4,14,9,True,True,Intel,Windows,512,16
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
"Intel NUC, NUC11 Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4 GHz - 4.2 GHz Turbo, 8 MB Cache, 16 GB RAM, 512 GB PCIe SSD 28 W Intel® W ris™ Xe Graphics NUC11PAHi5",799.99,B0B1LTRJ7Q,90.00,4.4,14,9,True,False,Intel,Windows,512,16
"NUC 11 NUC11PAHi7 Home&amp;Business Desktop Mini PC, Intel® Core™ i7-1165G7 4-Core, 2.8GHz-4.7GHz Turbo, 8 Thread, 12MB Cache, 32GB RAM, 1TB PCIe SSD, 28 W I. ntel® Iris™ X Graphics, Win 10Pro","1,129.99",B09KNK3R29,80.00,4.9,12,21,False,False,Intel,Windows,1024,32
"Intel NUC10 NUC10i5FNHN Home &amp; Business Desktop Mini PC, Intel® Core™ i5-10210U 10Generation, up to 4.2 GHz, 4 cores, 8 threads, 25 W Intel® UHD graphics, 16 GB RAM, 51. 2 GB PCIe SSD, Win 10Pro",640.00,B0B1ML7HLK,0,4.8,8,9,False,False,Intel,Windows,2048,16
"Intel NUC, NUC11 Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4 GHz - 4.2 GHz Turbo, 8 MB Cache, 16 GB RAM, 512 GB PCIe SSD 28 W Intel® W ris™ Xe Graphics NUC11PAHi5",799.99,B0B1ML7ADE,90.00,4.4,14,9,False,False,Intel,Windows,512,16
"GEEKOM Mini IT8 i5-8279U (up to 4.1 GHz) Mini PC, Windows 11 Pro Mini PC, 16 GB DDR4 RAM 512 GB SSD Mini Desktop PC, Mini Computer 4K @ 60Hz | Supports 4 Displays | 2.4/5GWiFi | BT Home/B. Office small PC",499.99,B0B1DV81FY,70.00,4.6,157,21,False,True,GEEKOM,Windows,512,16
Intel NUC Barebone BOXNUC7PJYHN2 EU Cord Black,149.99,B093Z522BW,0,3.5,4,8,False,False,Intel,no OS,unknown,unknown
INTEL - NUC RNUC12WSHI70000 Extreme Kit - Black,831.49,B0BG66CKW9,0,5.0,1,9,False,False,Intel,unknown,unknown,unknown
INTEL NUC Barebone BOXNUC7CJYHN2 EU Cord,127.89,B093Z4N4X4,0,4.3,11,8,False,False,Intel,no OS,unknown,unknown
"Intel NUC 11 Pro Mini PC Tiger Canyon (4C/8T up to 4.2GHz, 8MB Cache, 16GB DDR4 RAM, 512GB SSD) Mini Desktop PC, Windows 11 Pro, 2 x Thunderbolt DP 1.4, USB 3.2 Port, WiFi6",879.00,B0B9B454GR,80.00,4.5,27,10,False,False,Intel,Windows,512,16
"Intel NUC, NUC 11 Barebone Mini PC, Intel® Core i5-1135G7 4-Core 2.4GHz - 4.2GHz Turbo, 8-Thread, 8MB Cache, 28W Intel Iris™ Xe Graphics without OS and Cable NUC11PAHi. 5",759.99,B09KNJF4WZ,0,4.6,17,9,False,False,Intel,no OS,unknown,unknown
"MINISFORUM Mini PC 8GB DDR4 256GB SSD with Celeron Processor J4125 Quad-Core (up to 2.7GHz) 4 x USB 3.0 Ports 2 x Gigabit Ethernet Support HDD, 4K @ 60Hz HDMI, DisplayPort Dual Band WiFi Fi BT 4. 2",229.99,B089CNZL8S,0,4.5,574,8,False,True,MINIS FORUM,unknown,256,8
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U, 8GB RAM 256GB SSD Mini PC, NUC10i5FNHN, up to 4.2 GHz, 4 cores, 8 threads, Windows 10 Pro",629.99,B09KWZDXX8,0,4.9,25,13,False,False,Intel,Windows,256,8
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,False,Intel,Windows,256,16
Intel NUC 12 Pro Kit NUC12WSHi5 UCFF Black i5-1240P,562.08,B0BJ2VHPGZ,0,-1,0,13,False,False,Intel,unknown,unknown,unknown
Intel NUC 11 Pro UCFF Black i3-1115G4,330.11,B08YFDXP1B,0,-1,0,8,False,False,Intel,unknown,unknown,unknown
"MINIS FORUM JB95 Mini PC, Intel Celeron Silver N5095 Processor Quad-Core CPU 8 GB / 128GB SSD Mini Desktop Computer with Windows 10, HDMI/DP/USB C Connector, USB 3.0×2, USB 3.1×2",239.00,B089CZ4QC6,34.00,4.2,358,8,False,True,Intel,Windows,128,unknown
Intel Tiger Canyon NUC11TNHI3 Barebone L6 without Line,364.05,B08VH6YHBH,0,4.8,4,27,False,False,Intel,no OS,unknown,unknown
Intel NUC BOXNUC7CJYSAMN2 EU Cord,248.78,B093Z56JTW,0,-1,0,8,False,False,Intel,unknown,unknown,unknown
"NUC 11 NUC11PAHi7 Home&amp;Business Desktop Mini PC, Intel® Core™ i7-1165G7 4-Core, 2.8GHz-4.7GHz Turbo, 8 Thread, 12MB Cache, 16GB RAM, 512GB PCIe 28 W Intel® Iris™ X graphics, Win 10Pro",929.99,B09KMVGLHQ,0,4.7,9,13,False,False,Intel,Windows,unknown,16
"Mini PC I5-8279 Intel Core Mini PC W11 Pro with 16GB DDR4 500GB M.2 NVME SSD TRIGKEY S8 Mini Computer W11, Mini Desktop Gaming PC WiFi 5, Mini PC Gaming Suitable for Zoom, LOL, GTA Online",499.00,B09PNDV5MM,76.00,4.3,36,9,False,True,Intel,Windows,500,16
"Intel NUC 11 Essential Windows 11, Atlas Canyon Celeron N5105, 4 Cores, 4 Threads, 2.9 GHz, 4MB Level 3 Cache, 46W TDP, Intel UHD Graphics",309.99,B0B8HWXN8F,30.00,4.4,14,8,False,True,Intel,Windows,unknown,unknown
"Intel NUC, NUC 11 Pro Windows 10 Pro Desktop Mini PC, Intel® Core i5-1135G7 4-Core, 2.4GHz-4.2GHz Turbo, 8-Thread, 8MB Cache, 16GB RAM, 256GB PCIe SSD, 28 W. Intelle. ® Iris™ Xe Graphics, NUC11PAHi5",749.99,B0B1MN8LXD,70.00,5.0,2,21,False,True,Intel,Windows,256,16
HumanCentric Intel NUC VESA Mount for NUC Mini PC Computer,12.99,B07KB4YWQS,0,4.6,584,8,False,False,Intel,unknown,unknown,unknown
"NUC 11 NUC11PAHi7 Home&amp;Business Desktop Mini PC, Intel® Core™ i7-1165G7 4-Core, 2.8GHz-4.7GHz Turbo, 8 Thread, 12MB Cache, 16GB RAM, 512GB PCIe 28 W Intel® Iris™ X graphics, Win 10Pro",929.99,B09KMVGLHQ,0,4.7,9,13,False,False,Intel,Windows,unknown,16
Intel Juni Canyon NUC7CJYHN Barebone L6 without Cord,130.83,B093YPT4TR,0,-1,0,8,False,False,Intel,no OS,unknown,unknown
Intel NUC BOXNUC7CJYSAMN2 EU Cord,248.78,B093Z56JTW,0,-1,0,8,False,False,Intel,unknown,unknown,unknown
"Intel NUC, NUC 10 i5, Intel® Core™ i5-10210U Mini PC, NUC10i5FNHN Barebone, up to 4.2 GHz, 4 cores, 8 threads, no OS",529.99,B0B1MN8WX5,0,4.8,8,21,False,True,Intel,no OS,unknown,unknown
Intel NUC 12 Pro Kit NUC12WSHi5 UCFF Black i5-1240P,562.08,B0BJ2VHPGZ,0,-1,0,13,False,False,Intel,unknown,unknown,unknown
